,id,detail,gameweek,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,yellow_cards,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,element,fixture,opponent_team
21217,8479,BOU (H) 2-4,13,0,0,2,0,3.4,4,0,2.2,18.0,90,0,0,0,0,0,1.0,1,1,0.01,0.01,0.02,3.29,-1,559,130,3
21218,9169,EVE (A) 4-0,14,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,559,134,8
21219,9812,WHU (A) 2-1,15,0,0,8,0,12.0,2,0,4.1,27.0,90,0,0,0,0,0,2.0,0,1,0.05,0.01,0.06,1.01,1,559,150,19
21220,10492,IPS (H) 1-2,16,0,0,12,0,7.2,2,0,3.4,24.8,90,0,0,0,0,0,2.0,0,1,0.00,0.02,0.02,1.20,1,559,160,10
21221,11193,LEI (A) 0-3,17,1,0,27,1,12.3,0,0,3.3,20.4,88,0,0,0,0,0,0.0,0,1,0.00,0.07,0.07,0.47,9,559,167,11
21222,11894,MUN (H) 2-0,18,0,0,26,1,16.8,0,0,3.6,15.4,90,0,0,0,0,0,4.0,0,1,0.01,0.10,0.11,0.36,6,559,180,14
21223,12599,TOT (A) 2-2,19,0,0,2,0,12.3,2,0,2.0,5.8,90,0,0,0,0,0,2.0,1,1,0.00,0.01,0.01,2.25,0,559,189,18
21224,13308,NFO (H) 0-3,20,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.00,0.00,0.00,0.00,0,559,200,16
21225,14019,NEW (A) 3-0,21,0,0,7,0,21.3,1,0,3.8,7.4,21,0,0,0,0,0,9.0,0,0,0.02,0.06,0.08,0.50,1,559,210,15
21226,14743,CHE (A) 3-1,22,0,0,-6,0,6.0,3,0,2.4,16.4,90,0,0,0,0,0,2.0,1,1,0.00,0.02,0.02,3.15,0,559,213,6
21227,15472,ARS (H) 0-1,23,0,0,10,0,35.4,1,0,5.9,21.8,90,0,0,0,0,0,2.0,0,1,0.00,0.04,0.04,1.00,2,559,230,1
21228,16258,AVL (H) 2-0,24,0,0,13,1,3.5,0,0,1.7,11.0,90,0,0,0,0,0,2.0,0,1,0.00,0.00,0.00,0.45,6,559,240,2
21229,17080,LIV (A) 2-1,25,0,0,6,0,2.0,2,0,2.3,12.4,90,0,0,0,0,0,9.0,0,1,0.03,0.01,0.04,1.66,1,559,246,12
21230,17854,BOU (A) 0-1,26,0,0,23,1,6.1,0,0,4.0,15.4,90,0,0,0,0,0,18.0,0,1,0.17,0.10,0.27,0.62,6,559,253,3
21231,18617,FUL (H) 1-2,27,1,0,13,0,41.6,2,0,6.6,22.2,90,0,0,0,0,0,2.0,0,1,0.00,0.05,0.05,1.69,4,559,267,9
21232,19381,EVE (H) 1-1,28,0,0,5,0,5.6,1,0,1.4,4.4,90,0,0,0,0,0,4.0,0,1,0.00,0.02,0.02,1.41,2,559,280,8
21233,20031,SOU (A) 1-2,29,0,0,6,0,1.5,1,0,1.9,17.4,89,0,0,0,0,0,0.0,0,1,0.00,0.01,0.01,1.37,2,559,290,17
21234,20773,WHU (H) 1-0,30,0,0,19,1,5.1,0,0,0.7,2.0,90,0,0,0,0,0,0.0,0,1,0.00,0.04,0.04,1.34,6,559,295,19
21235,21544,IPS (A) 1-2,31,0,0,9,0,5.8,1,0,2.7,14.0,90,0,0,0,0,0,7.0,0,1,0.07,0.06,0.13,0.80,2,559,306,10
21236,22373,TOT (H) 4-2,32,0,0,-4,0,1.5,2,0,1.5,9.6,90,0,0,0,0,0,4.0,0,1,0.05,0.05,0.10,1.96,1,559,320,18
21237,23269,MUN (A) 0-1,33,0,0,19,1,2.8,0,0,0.7,3.2,73,0,0,0,0,0,1.0,0,1,0.02,0.02,0.04,0.74,6,559,328,14
21238,23987,LEI (H) 3-0,34,0,0,26,1,31.1,0,0,4.1,10.0,88,0,0,0,0,0,0.0,0,1,0.00,0.08,0.08,1.10,6,559,340,11
21239,24722,MCI (A) 1-0,35,0,0,9,0,0.2,1,0,1.3,8.2,85,0,0,0,0,0,5.0,0,1,0.08,0.00,0.08,0.71,2,559,349,13
21240,25503,BHA (H) 0-2,36,0,0,5,0,30.2,2,0,4.9,14.6,90,0,0,0,0,0,4.0,0,1,0.00,0.19,0.19,1.57,1,559,360,5
21241,26284,CRY (A) 4-2,37,0,0,-1,0,2.3,2,0,0.8,5.8,45,0,0,0,0,0,0.0,0,0,0.00,0.01,0.01,0.59,0,559,366,7
21242,27065,BRE (H) 1-1,38,0,0,13,0,28.0,1,0,5.3,15.2,90,0,0,0,0,0,10.0,1,1,0.05,0.09,0.14,1.43,1,559,380,4
21243,560,MCI (H) 0-2,1,0,0,6,0,26.7,1,0,4.3,7.4,32,0,0,0,0,0,9.0,0,0,0.04,0.16,0.20,0.11,1,560,9,13
21244,1181,WOL (A) 2-6,2,1,0,12,0,13.3,0,0,4.1,21.6,45,0,0,0,0,0,6.0,0,0,0.00,0.05,0.05,0.17,4,560,20,20
21245,1809,CRY (H) 1-1,3,0,0,-1,0,2.2,1,0,0.1,0.0,57,0,0,0,0,0,0.0,1,1,0.00,0.02,0.02,0.13,0,560,23,7
21246,2457,BOU (A) 0-1,4,0,0,5,0,16.3,0,0,2.1,4.4,45,0,0,0,0,0,0.0,0,1,0.00,0.03,0.03,1.29,1,560,32,3
21247,3116,WHU (A) 0-3,5,0,0,4,0,2.8,0,0,1.7,8.4,33,0,0,0,0,0,6.0,0,0,0.00,0.02,0.02,0.35,1,560,50,19
